"","Name","Region","State.Abbreviation","County.FIPS.Code","Population","Premature.death","Life.expectancy","Child.mortality","Poor.or.fair.health","Unemployment","Income.inequality","Median.income","Homeownership","Food.insecurity","Severe.housing.problems","School.funding.adequacy","High.school.completion","Reading.scores","Free.or.reduced.lunch.eligibility","Adult.smoking","Excessive.drinking","Physical.inactivity","Adult.obesity","Uninsured","Uninsured.children","Primary.care.physicians","Not.proficient.in.English","Rural"
"1","Autauga County","South","AL",1,56145,8027.394727,76.58564973,5149625.222,20.1,4.884279,5.135445878,67565,74.6231272,15.7,14.7288657,-261860.8,88.713682,3.12696818,45.4824561,19.7,16.1612356,32.2,35.3,9.3512391,2.6531064,0.000447475,0.6926952,42.0021623
"2","Baldwin County","South","AL",3,229287,8118.358206,77.72472918,5116978.345,17.2,5.6064818,4.386477827,71135,76.9997739,13.4,12.4205037,33394.24,90.4713846,3.192380762,46.1322853,19.9,21.5035299,27.6,29.6,10.9067738,3.4081982,0.000689859,0.7720679,42.2790991
"3","Barbour County","South","AL",5,24589,12876.76032,72.86721012,8270493.797,31.1,7.045534,5.994926933,38866,61.9502253,20.7,15.4599891,-1509736.5,74.7316964,2.389161313,60.2061534,27.8,13.9276425,41.6,40.4,12.9914732,3.5589265,0.000364579,1.8274669,67.7896347
"4","Bibb County","South","AL",7,22136,11191.47432,73.60936309,8223233.375,25,6.6319444,5.394051358,50907,74.77614,16.3,11.1842105,-427957.1,80.8844686,2.688775131,59.142769,25.2,16.0167595,37.7,41.2,10.9932498,3.0872193,0.000580513,0.3550968,68.3526075
"5","Blount County","South","AL",9,57879,10787.01454,74.1714626,7117304.415,23.2,4.0874255,4.764969276,55203,76.0763971,14.5,10.4611651,-57420.7,82.8251369,2.901714404,52.401269,22.2,16.1735047,33.3,38.7,14.2710274,4.6760236,0.000224812,1.4764977,89.951502
"6","Bullock County","South","AL",11,9976,11406.35109,73.81468226,10469875.31,31.1,5.5002076,8.107064622,33124,73.8116069,15.7,17.3130194,-1921687,74.9410377,2.110535605,75.4626457,25.2,13.4455428,41.3,43.8,11.099631,2.3820867,0.000297,1.5659255,51.3743815
"7","Butler County","South","AL",13,19504,12717.03016,73.47327905,8017868.392,27.1,8.8449647,5.70442037,42268,73.2741766,16.5,12.5186289,-1051471,86.3531114,2.526134007,79.8441734,24.6,13.5570081,40.7,39.7,11.5727003,3.3671587,0.000257096,0.3178023,71.2321574
"8","Calhoun County","South","AL",15,113469,11826.11499,72.82500707,5789740.985,23.7,7.050173,4.755530595,50259,70.3805079,17.2,12.9565893,-432230.736,85.0735117,2.945480411,59.9593378,22.6,16.1706171,32.6,35.9,11.9038143,2.9771631,0.00061617,0.70034,33.6968256
"9","Chambers County","South","AL",17,32865,11059.44388,73.76110499,8639930.881,25.3,6.7948314,4.460929467,39318,67.2434104,15.4,15.1313356,-1330284.15,82.5838206,2.634106621,70.9837545,23.6,14.1963284,36.9,39.5,12.1641277,2.7801418,0.000451074,0.3530198,49.1480345
"10","Cherokee County","South","AL",19,26294,11395.89838,74.0144009,6534305.102,23.7,4.6034917,4.475409836,50388,78.2299742,16.1,10.9853843,52121.78,82.8240088,2.784754319,61.0982807,24.7,16.3980167,36,34.3,12.9817853,3.6778939,0.000381738,1.1041073,85.736273
"11","Chilton County","South","AL",21,44397,10342.20494,74.39108471,4507282.82,25.1,4.9714169,4.405465463,52693,75.134189,17.2,14.6268657,-237225.8,81.8094385,2.822341241,64.6277615,23.9,15.9550778,35.3,39.2,13.7330914,4.2803343,0.000225083,1.736715,86.7447242
"12","Choctaw County","South","AL",23,12418,12128.65802,74.2140102,8496176.721,27.3,6.665224,5.381808279,41649,81.6135084,18.9,11.8691589,-1174869,82.6945914,2.549412685,75.2818035,24.6,14.1065349,37.8,39.7,12.1856256,4.2985541,0.000397172,0.2068851,100
"13","Clarke County","South","AL",25,23291,14428.01727,71.73733928,10756894.19,27.6,9.0101686,6.913969529,44178,72.5195752,18.6,12.8739316,-808442.55,82.6139017,3.008578223,70.584895,25,13.7794127,39.6,44.4,11.9502299,3.35957,0.000465668,0.0977083,75.9803352
"14","Clay County","South","AL",27,13112,12553.86547,72.89639799,10188760.19,26.6,4.027618,5.298252743,44763,76.5961576,16.5,9.5510984,-473218.6,81.2613382,2.783569439,64.9456522,25.6,15.6471318,37.1,37.1,14.3717227,4.4388308,0.000377786,0.0716389,100
"15","Cleburne County","South","AL",29,14967,10529.87905,74.34666265,8081104.907,22.9,4.5668468,4.832003881,50134,77.377892,18.2,11.0043668,-6915.332,82.188271,3.122187396,54.5490351,23.8,16.4492051,33.6,35.6,12.7963293,4.6704871,0.000201207,0.5759386,100
"16","Coffee County","South","AL",31,53230,9298.356837,75.26854472,4852700.326,21.7,4.3902893,4.955314337,54203,67.8011127,15.7,9.7018696,-261816.0667,85.6467053,3.020489127,47.8449144,20.7,15.832828,33.3,34.6,13.0386226,3.7953025,0.000477628,1.1323526,47.1950829
"17","Colbert County","South","AL",33,55411,11071.97706,73.87503417,5872501.468,21.9,6.5795059,4.673445914,54185,71.6107721,16.5,12.2018349,-195719.54,85.6949101,3.015519633,54.9367403,21.5,16.4067914,33.2,35.9,10.7574169,3.0856951,0.000615485,0.7268451,43.8946866
"18","Conecuh County","South","AL",35,11851,15564.97228,71.1942674,10054802.51,27.8,7.3084566,4.276247752,34664,74.7219193,16,9.5081967,-1310578,84.9535463,2.267557265,66.342711,25.1,13.5174168,39.5,41,12.2480449,3.499006,0.000414353,0,80.9495011
"19","Coosa County","South","AL",37,10650,13476.84837,73.92512749,15673981.19,24.9,5.5100182,3.955299895,46509,81.0756972,15,10.3532278,-738973.4,83.1662843,2.481397373,63.8539043,23.7,15.3729855,34.8,39.2,11.2841945,3.9422543,0.000584124,0.3909304,100
"20","Covington County","South","AL",39,36930,12059.1712,72.91764187,8015537.812,23.6,4.8642236,5.241949884,43544,74.2714238,18.1,12.4916722,-521661.18,85.3447622,2.934725219,55.8761889,24.7,15.1798123,35.6,36.6,12.5321292,3.6589741,0.000458852,0.1458935,69.651794
"21","Crenshaw County","South","AL",41,13681,12024.58011,72.58910799,4807178.72,24.6,5.7092596,5.717060598,45927,76.6713231,15.5,8.8557214,-580386.8,78.8207352,2.79990848,64.1618497,24,15.210434,35.6,35.6,13.3848954,4.5257285,0.000145222,0.4278075,100
"22","Cullman County","South","AL",43,84515,10570.64407,73.91425364,4802369.169,22.1,4.3069695,4.29717883,51844,74.7928025,16.4,11.812561,44742.53,82.2636182,3.119827164,50.7116584,23.4,17.237232,33.6,33.2,13.3711351,3.4431445,0.000596887,0.6408125,73.2395592
"23","Dale County","South","AL",45,48959,10384.79307,74.90884591,6224850.492,23,4.8720425,5.034164919,48493,58.6446792,17.8,13.8457418,-616866.8667,85.3141221,2.898242053,61.8644068,22,15.2997617,32.9,38.1,12.0278981,3.1983313,0.000244041,0.8472183,50.8885395
"24","Dallas County","South","AL",47,36098,15053.29458,71.08750378,4758705.632,28.9,10.7394487,5.827940708,37679,56.6616912,19,18.2430364,-1517678,83.9483035,2.482947088,83.2092199,24.3,12.7828867,41.2,47.4,11.1107328,2.6868757,0.000752769,0.2486172,45.6389776
"25","DeKalb County","South","AL",49,71658,10883.12568,73.84247827,6084928.212,27.3,4.5158772,4.559598359,47156,73.1082875,17.2,12.0168389,-286176.1,78.0255041,2.651262829,66.1676647,25,14.4001837,40.5,35.3,18.6570512,4.9554693,0.000447471,3.2627472,90.1306445
"26","Elmore County","South","AL",51,82158,9205.031134,75.28953085,6058853.5,21,4.8525396,4.257571854,62524,75.1829227,13.9,11.3398525,-359427.95,87.2636096,3.04220366,48.9913109,20.4,16.0762107,33.1,35.8,8.9173055,3.2120028,0.000233964,0.8278555,54.1883661
"27","Escambia County","South","AL",53,36281,13083.86346,72.20851205,8218427.541,27.7,5.9779977,5.497722442,41212,66.4527105,17.7,10.8711839,-768243.15,80.352488,2.881991581,66.6604233,24.6,14.0760529,39.1,38.7,14.154217,3.5816278,0.000327574,0.4647135,63.5115739
"28","Etowah County","South","AL",55,102371,12211.09801,72.53703119,6488258.529,23,7.6760633,4.722036341,47872,72.9653038,16.8,10.1998711,-449029.7,85.3285865,3.010232137,55.6505723,23.5,15.3586653,33.9,34.5,12.7415137,3.7197657,0.000811593,0.9685856,37.4834818
"29","Fayette County","South","AL",57,16241,12488.51148,73.05971018,6492356.726,24.9,4.9679976,5.404705294,45937,75.2240999,18.8,11.2311015,-348778.1,84.1946077,2.893179563,61.0762332,24.5,15.4797635,35.4,37.1,11.9958635,3.6502547,0.000981475,0,80.2331651
"30","Franklin County","South","AL",59,31507,10961.32298,73.67638903,6129032.258,25.8,4.4231836,4.333212492,40448,71.0538259,16.3,10.2586976,-301319.55,78.6768544,2.567992701,44.7465809,22.8,15.4439232,37.2,37.9,15.4164229,4.7936588,0.0004464,5.8207019,70.3665153
"31","Geneva County","South","AL",61,26411,12682.49993,72.63087878,7358351.729,24.9,4.0978311,5.014878348,39882,75.2459327,19.8,12.4045802,-458127.5,81.8118579,3.05403059,58.3688833,25.2,15.3912317,35.4,35.9,14.5912133,3.5612296,0.000304518,0.4732304,89.6416573
"32","Greene County","South","AL",63,7990,14803.44471,72.86077289,11458691.42,35.6,10.8789386,5.237631328,33609,68.5651353,22.2,17.5972927,-1611895,80.9292649,2.467139733,84.1897233,28.2,11.046112,45.9,47,11.6485686,3.2441662,0.000493157,0.1294498,100
"33","Hale County","South","AL",65,14670,13406.62262,72.54515094,10275229.36,28.8,9.4156379,6.63497817,41836,75.6648452,16.9,14.7526502,-1062428,80.6644717,2.781441538,66.8418924,25.8,13.7003153,39.5,43.8,11.5825091,3.2854209,0.000204764,0.2760023,89.1687817
"34","Henry County","South","AL",67,17223,10034.02779,75.5375852,7789816.585,23.4,4.7989434,5.684086059,51126,83.4502746,14.5,9.3703148,-514108.1,80.4732274,2.815581462,55.1424051,22.5,15.9423271,34.9,38.5,12.5220594,4.0521787,0.000290613,0.202977,87.7528609
"35","Houston County","South","AL",69,106580,9505.368035,75.64832173,8358529.312,23.3,5.3863411,5.120996084,54391,65.928514,16.4,12.8136543,-480760.3,86.8739964,2.972277798,62.8105228,21.7,14.9437425,35.9,40.2,13.2812042,3.0784708,0.000850003,0.4098651,33.8040513
"36","Jackson County","South","AL",71,51582,11395.22375,73.26880873,5109862.034,24.4,5.2670753,4.844070073,46606,77.2376884,18.1,11.4181818,109606.605,83.461808,3.058069377,57.6003137,24.1,15.9036017,35.7,38.6,13.7662402,3.3932136,0.000542362,0.4784981,77.0173033
"37","Jefferson County","South","AL",73,655342,11420.42251,74.06055235,8419866.216,19.1,6.2271132,5.308017071,57802,63.2480544,14.4,16.004599,-467870.35,90.5149985,2.78853869,54.0511662,17.6,16.5653545,30.4,34.2,10.691189,2.7420513,0.001122123,1.1378811,9.8337652
"38","Lamar County","South","AL",75,13764,9967.83546,75.26151019,10563380.28,24.9,4.8516579,5.907081085,40204,72.8112236,18.7,9.2050209,-227993.4,82.9561672,3.088662981,58.2897033,25,15.8800616,37.1,36.4,11.8528996,3.9209226,0.002507523,0.1148721,100
"39","Lauderdale County","South","AL",77,93368,9011.60644,75.94632606,4397295.663,20.6,5.5352842,4.560698355,52293,68.052346,15.5,12.0212904,61621,88.6158311,3.130774043,45.6263841,20.5,17.0013283,30.1,32.7,11.9283547,3.4468085,0.00054999,0.5753387,49.2951062
"40","Lawrence County","South","AL",79,32857,12573.67065,72.86035472,6683081.252,24.9,4.8945206,4.682850736,48924,78.4160625,17.7,10.4605777,-152843,80.7828725,2.863666439,58.6947188,25.6,16.1005887,35,35.5,14.7786606,4.693239,0.000151865,0.4103353,91.2897871
"41","Lee County","South","AL",81,166831,7312.456767,77.71981671,6477895.979,20.1,5.2075062,6.269995507,58963,63.3663203,14.9,18.9978947,-293453.57,90.3650003,3.101688832,43.9111332,18.4,15.2945404,29.2,33.6,10.7135937,3.5626161,0.000486198,1.2815017,27.409499
"42","Limestone County","South","AL",83,102228,7851.805063,77.09611375,4666302.467,20.8,4.2577985,4.616934239,70850,76.7853323,14.3,10.8949416,-152065.15,85.2708389,2.879799087,44.330892,20.7,15.9760455,31,33.7,11.5790379,3.6877956,0.000363949,1.124283,57.6091421
"43","Lowndes County","South","AL",85,9641,16605.90154,70.30146804,12534184.14,31.5,13.3296913,5.471766178,37499,75.0771422,19.3,16.9856459,-1405688,82.1967499,2.229613109,96.1748634,25.6,11.7576777,42.8,45.8,10.8072746,3.316444,0.000102817,0.0321578,100
"44","Macon County","South","AL",87,17895,14740.20099,71.27818633,9576013.737,28.1,9.5870024,5.362664816,37736,64.7655427,15.4,17.9436804,-1402953,83.5652028,2.294061132,97.4221268,23,12.0806866,38.6,40.4,10.7114499,2.4878837,0.000387425,0,55.5472683
"45","Madison County","South","AL",89,379453,8359.534618,77.35324666,5464497.841,17.9,4.6291796,5.125232394,67810,67.7038542,13,11.8515714,-217189.9437,91.6680526,3.164968022,36.6246219,16.1,17.6200585,27.8,32.5,9.2046296,3.1613858,0.000892979,1.1192456,16.4415148
"46","Marengo County","South","AL",91,18733,15174.43814,71.03309977,8749416.706,26.6,6.2451713,6.520876908,43198,69.7693026,17.3,13.963964,-1237325.833,85.4433781,2.745951239,67.7005348,23.9,13.9096484,39.8,43.6,11.0790498,3.3295063,0.000371097,0.0614628,69.3156418
"47","Marion County","South","AL",93,29703,11966.68286,73.078829,8089633.135,23.8,5.0713519,4.989091832,44333,75.8573854,19.2,11.5888616,-159584.45,81.095929,3.061671918,49.6704745,24.3,16.3810432,34.2,35.9,12.3292469,3.3218964,0.000269279,0.6927998,88.8549519
"48","Marshall County","South","AL",95,96990,10517.45906,73.89312085,5182421.227,24.9,4.1671372,4.531333395,51417,72.8976221,17.1,13.8558533,-159163.042,83.3245235,2.754924662,60.8161285,22.3,14.3083335,36.2,38,15.4000381,3.5687015,0.000589001,3.9021608,53.268687
"49","Mobile County","South","AL",97,412716,10973.93095,74.44164168,6855676.371,22.5,7.9216479,5.232936756,50871,64.0752236,15.8,15.5072836,-830278.7,87.3024893,2.780952518,68.0612876,21.4,17.0270064,32.1,36.4,12.6794429,2.6666667,0.000687302,0.6228105,20.0202425
"50","Monroe County","South","AL",99,20459,13663.94066,73.28886953,7296402.312,27.5,8.161627,7.119005329,38812,67.863354,19.9,10.3680982,-888487.5,83.4660677,2.512728103,69.0656184,25.3,14.6929699,41.2,41.1,12.9451246,3.3928571,0.000434091,0.0451445,79.0445639
"51","Montgomery County","South","AL",101,224639,10524.45655,75.24879241,8169433.098,22.9,7.8130398,5.2960069,49607,57.6331401,15,17.9996661,-1216874,87.3279425,2.534611282,69.8156757,20.1,15.0169263,31.9,37.6,11.6745518,3.1376651,0.001028761,1.3197287,10.4912301
"52","Morgan County","South","AL",103,119883,10859.75664,74.19546978,5963412.173,21.9,4.4720623,4.531513885,55688,72.2083297,15,12.0714208,-53565.33333,84.0452808,2.884934089,52.4953697,20.6,14.8701888,31.2,34.5,12.8056854,4.1159132,0.000509697,2.1409265,38.5973722
"53","Perry County","South","AL",105,8687,16198.64216,70.79039959,13438602.39,32.4,10.8524876,4.674951671,33712,78.2802548,20.1,18.6688312,-1909244,78.3505155,2.323915114,90.4923599,25.4,11.4350706,43.4,46.2,12.1306863,3.1517094,0.00033621,0,100
"54","Pickens County","South","AL",107,19793,10619.00511,73.91421578,7685902.773,27.5,6.5143603,5.74184643,41870,75.9280818,17.8,11.3545817,-916392.8,82.8513833,2.855263083,72.4979658,23.4,14.837017,38.3,40.1,12.3792058,4.0671073,0.000401405,1.8147388,100
"55","Pike County","South","AL",109,32966,11573.57348,73.93137985,5923234.876,24.4,4.9373241,6.274916124,43141,63.5128205,16.9,16.2407969,-1057609.35,87.3537027,2.771098576,70.2079679,20.6,14.2446172,33.8,36.3,13.5355802,3.9459376,0.000422782,1.2893391,51.6793824
"56","Randolph County","South","AL",111,22920,11567.64614,73.92161987,8785075.707,23.8,4.7482473,5.467339384,46679,79.214327,15.5,13.1289763,-585663.95,81.9233415,2.760856056,64.6994833,23.3,15.0762685,34.7,34.5,12.2753303,3.3138008,0.000220051,0.2241106,81.3424693
"57","Russell County","South","AL",113,58237,11474.84516,73.38067659,7692170.086,25.3,5.1489362,5.242215831,40821,60.4541234,16.8,17.348285,-683518.8,85.2774949,2.72111565,67.5500708,21.7,13.8694484,36.3,38.5,11.2636345,2.480326,0.000207036,0.8685646,35.4089939
"58","St. Clair County","South","AL",115,90739,9846.129899,74.73805307,5326858.516,20.6,4.9486694,4.024506719,61973,80.4364413,14.4,10.8175319,49863.575,85.7640226,3.045055498,43.2520679,23.1,18.3090905,31.8,35.2,10.1962766,2.8319848,0.000156404,0.3404652,72.7967653
"59","Shelby County","South","AL",117,221428,6125.247256,80.26156646,4293815.425,15.6,3.8597783,3.905225056,88444,80.3729754,10.6,10.0536193,189376.1,93.2079761,3.197249943,31.665921,15.3,15.6169611,23.6,30.2,8.7439699,2.9926171,0.000836005,1.2753188,22.9448702
"60","Sumter County","South","AL",119,12225,14936.41535,71.90939336,13300230.54,29,6.975764,6.412370152,32275,62.875817,19.8,18.6323092,-1886385,85.2683819,2.164739669,80.1692866,23.2,12.0794852,39.5,43.5,13.214712,4.0366209,0.00056329,0.2694737,100
"61","Talladega County","South","AL",121,79985,12311.42735,72.92603706,8762679.895,25.5,7.0093846,5.130471333,44802,71.4911313,16.8,12.7686674,-540802.9,81.8053848,2.727234524,68.2299947,25,13.6473746,36,37.1,11.2074234,2.8456487,0.000312586,0.525311,55.8153383
"62","Tallapoosa County","South","AL",123,40133,11407.69059,73.92674598,6001680.471,24.2,6.9357367,5.066096511,46654,74.8701021,16.4,15.8358663,-640257.45,81.2167934,2.543644388,61.972547,23.6,15.4509664,36.6,38.6,12.1483252,3.5345748,0.000495454,0.4862237,74.2262591
"63","Tuscaloosa County","South","AL",125,210758,9049.567539,75.82633603,7631327.168,20.5,6.602297,5.187383779,56610,62.9314845,14.3,16.0472506,-608161.95,89.5196273,2.855172772,54.5157199,20.2,16.427004,31.3,38.3,10.0647835,3.2208961,0.000716486,0.8668327,25.5080758
"64","Walker County","South","AL",127,63143,15734.17367,69.62925684,9036624.909,24.2,5.812598,4.818335624,46519,77.9245283,18.6,11.5438386,-162048.6215,81.6603182,2.937463464,54.1560728,25.9,14.8778357,36.2,35.3,13.2470574,4.5335718,0.000409314,0.5258414,74.0879996
"65","Washington County","South","AL",129,15976,10228.2857,75.28794256,8407482.66,26,8.0101055,7.2316,36346,89.4511149,18.4,9.7418818,-409132.2,85.8539648,2.913192653,62.1084798,24.6,14.1289778,38.1,40.3,13.7518338,5.1075269,0.000122504,0.0902178,100
"66","Wilcox County","South","AL",131,10206,17713.59313,69.84538646,12534184.14,33.2,14.7335423,5.927824673,31909,69.9318354,20.1,10.2496715,-1754142,79.2776204,1.976705646,94.0939597,27.5,11.4892447,44.1,45.4,11.5751642,3.3616849,0.000289212,0.5570749,100
"67","Winston County","South","AL",133,23508,10680.05237,74.82322635,7300031.286,25.6,4.7419387,4.810654686,46453,80.3162713,18.7,9.5162148,-130454.43,78.4396998,2.762504747,53.8658474,26.3,15.5704049,37.7,38.3,13.0418168,3.7044494,0.000338567,0.8499088,84.8921745
"68","Aleutians East Borough","West","AK",13,3401,8561.196561,112.503856,3920160.859,22.8,3.9635355,4.039207921,79128,61.437247,11,13.9534884,2455946,86.6213152,3.365991092,3.9647577,19.5,16.3061054,28.1,31.5,23.289518,16.6023166,0.000620604,10.1953602,100
"69","Aleutians West Census Area","West","AK",16,5680,5256.927635,91.47865596,5263845.103,18.5,4.528403,2.582237886,92216,27.7182236,11.5,18.7234043,1292735,91.8013308,2.969903755,18.2,16.8,18.8472021,23.8,27.7,17.6941553,12.3511905,0.000354988,8.2026978,100
"70","Anchorage Borough","West","AK",20,287095,8016.482828,78.68391547,5658060.958,15.3,7.3932557,3.840361,84577,62.2249229,10.9,16.9960103,360420.4,93.9925654,2.943520315,43.4985423,15.3,21.0619084,20.5,30.7,11.1427198,6.413844,0.001177083,2.100591,4.1171794
"71","Bethel Census Area","West","AK",50,18437,16258.64876,70.71169041,14193647.38,34.1,11.5611087,5.772738526,52214,55.7901756,22.5,61.0745614,1193206.533,83.4569658,2.707988105,91.3179507,34.9,16.8339546,32.6,38.3,16.7507752,7.2324159,0.001087784,1.7870257,73.9375772
"72","Bristol Bay Borough","West","AK",60,788,8561.196561,76.94060157,7169654.774,18.7,7.4340528,3.407407407,87032,51.4084507,12.7,11.9402985,2988595,93.7611408,2.820368477,100,21.2,20.9079583,21.6,34.1,15.1248165,11.4649682,0,0,100
"73","Denali Borough","West","AK",68,2081,8561.196561,89.08561212,6299874.003,16.1,15.7352941,4.694241379,80192,82.9201102,15.1,25,501149.3,97.7491961,3.173752495,1.2084592,17.8,21.686405,19.9,28.4,11.5148127,9.5794393,0.000676619,0.324412,100
"74","Dillingham Census Area","West","AK",70,4833,17438.07397,70.24075091,19373587.34,27.5,8.2089552,4.314172688,72334,60.4195804,16.3,39.7887324,1545074.25,86.5265334,2.40585746,97.309833,30.7,19.3227931,27.7,35.7,15.5113246,8.6042065,0.002644426,1.571621,100
"75","Fairbanks North Star Borough","West","AK",90,95651,6864.601568,80.2125933,6100040.667,15.9,6.358692,3.629334559,76650,58.8828421,11.1,23.579351,435675.885,94.4511049,3.354167245,22.9005346,17.6,19.6806361,22.2,30.4,11.2952687,6.8591906,0.000877655,0.7592513,30.8707638
"76","Haines Borough","West","AK",100,2614,8009.434729,84.35998665,5134852.498,15.9,15.6188605,5.115895153,105044,60.523446,13.9,19.5121951,648955.3,97.9555021,3.000010061,40.2173913,17.9,21.1635379,19.6,30.2,12.6379137,10.041841,0.002766798,0.0419112,100
"77","Hoonah-Angoon Census Area","West","AK",105,2141,6966.045746,84.32797252,6430868.167,20.9,13.5238095,4.822680851,55593,73.2450331,14.9,14.375,1137506.2,93.9793578,2.687038117,62.7118644,22.7,19.9925697,23.6,34.8,19.9876238,14.1025641,0.000676619,0,100
"78","Juneau Borough","West","AK",110,31849,6632.744721,81.07434567,3689220.099,14.7,6.6019299,3.431536764,89204,64.5985402,10.3,13.5782748,858587,96.2356792,3.153968599,29.2910053,15.1,21.6668357,16.7,27.5,11.3961172,6.8424005,0.001251017,1.317832,21.5443645
"79","Kenai Peninsula Borough","West","AK",122,59414,7919.691697,79.2262744,6041725.668,17.7,9.0846969,4.478520529,68448,75.3363023,13.5,18.6292548,866672.8,92.986931,3.375324439,36.0287409,19.9,22.0666062,22,27.4,13.7966538,8.8252744,0.000766505,0.2134665,79.3375451
"80","Ketchikan Gateway Borough","West","AK",130,13747,6148.48497,80.19062984,5399653.787,17.6,9.6165644,4.421062299,76780,63.8799774,12.9,17.8403756,1301219,93.880289,3.378570166,39.720646,19.5,22.5124894,21.5,31.7,13.5239094,8.538163,0.001150996,0.9316533,23.187653
"81","Kodiak Island Borough","West","AK",150,12992,6129.889072,80.54596037,5578800.558,16.4,6.2397373,3.485122758,72028,49.6809265,11.5,22.9714286,1393349,89.5641429,2.910352167,49.0467938,16.5,19.1464896,23,29.2,18.2182271,12.4159021,0.001230959,7.060148,31.3198941
"82","Kusilvak Census Area","West","AK",158,8328,20938.53134,67.68724567,21225206.76,42.3,19.3562418,4.286886228,37566,71.7142857,28.6,70.4142012,-148994.4,78.5714286,2.084555281,99.7248428,43,15.767436,38.2,45.1,15.5960912,5.7417663,0.000676619,0.9269508,99.2549836
"83","Lake and Peninsula Borough","West","AK",164,1493,14829.5463,76.94060157,10037234.9,27.4,9.4339623,4.294536817,54386,64.4808743,16.7,25.8823529,-141933.38,88.1615599,2.872301942,83.988764,29.3,18.4683308,28.3,37.1,19.0954774,11.3978495,0,1.0261194,100
"84","Matanuska-Susitna Borough","West","AK",170,110213,7119.840983,78.99171204,3904013.326,17,8.3389065,4.556295458,89502,76.7895132,12,20.0777202,779176.1,93.5590551,3.245858694,35.2630499,19.8,20.1983472,23.9,32,12.8009579,8.9689001,0.000507769,0.8032129,50.2938367
"85","Nome Census Area","West","AK",180,9909,16614.74151,70.31896531,15979081.93,28.4,10.4660046,4.952951479,64309,61.7933021,18.9,50.7826087,1183070.4,86.0090498,2.715041077,92.9118774,30.8,18.8563727,28.8,41.8,17.1899529,9.8901099,0.00119952,2.0152807,66.0556258
"86","North Slope Borough","West","AK",185,9294,9547.752727,76.21044775,11549566.89,21.3,5.90625,4.522131653,94759,46.8106479,13.2,44.5292621,2630929,88.7182803,3.021214022,31.4685315,24.1,20.9106907,23.7,35.1,13.2106838,9.3586876,0.000203417,0.9886194,59.3319194
"87","Northwest Arctic Borough","West","AK",188,7644,15739.55594,71.2524859,18213277.48,31.1,11.9646499,5.418133085,65194,56.8802228,22.2,49.1935484,2310027,84.5212891,2.603148011,94.182165,34.3,17.7977475,29.2,39.1,17.4513223,8.7364621,0.000918515,0.4616938,57.4637778
"88","Petersburg Census Area","West","AK",195,3296,5727.515265,80.63892046,4746459.932,16.3,8.6925795,4.086469331,66096,70.5980066,12.7,17.0940171,1017979,89.2066049,2.929245735,56.0767591,18.1,23.1488212,20.5,28.2,16.6795966,13.0624093,0.00183711,4.5030556,56.1820899
"89","Prince of Wales-Hyder Census Area","West","AK",198,6147,12722.56471,76.44695294,6735424.121,23.2,9.1937765,4.616239353,53638,73.5656609,18.2,18.6836518,1683915.96,91.274114,3.153378475,57.8001438,25.6,19.6258735,24.8,37,18.873577,12.5710227,0.001450911,0.1505772,98.7065658
"90","Sitka Borough","West","AK",220,8405,6245.50825,80.91357145,4672897.196,16,6.8973863,3.659634855,79363,60.7782755,11.4,16.1516854,1144545,95.2458749,3.307438382,53.1537048,17.2,21.2947628,20.1,28.9,13.4265142,8.9820359,0.002237137,0.6741849,20.8760275
"91","Skagway Municipality","West","AK",230,1179,8561.196561,76.94060157,2169579.126,15,21.4521452,3.575,78421,63.9902676,13.4,10,1194746,88.4871551,3.351959446,2.1428571,16.8,22.3814878,20.2,30.7,11.1442786,8.2901554,0,1.054339,0.8877359
"92","Southeast Fairbanks Census Area","West","AK",240,6957,8863.91351,77.23608069,8375209.38,18.7,7.3960464,5.489128028,64544,72.9777,14.5,21.0161663,1209653.25,91.0884649,2.880691947,46.2328767,20.9,21.2395532,23,32.3,18.3254344,11.8556701,0.000725374,2.1041147,100
"93","Valdez-Cordova Census Area","West","AK",261,9346,9157.402691,78.04502101,5851725.262,15.6,8.735073,3.479929578,73044,74.0290543,11.3,14.2164782,1101832.3,95.583308,2.843140745,40.8138101,17.1,23.1975926,20.2,30.7,14.7469571,11.4834674,0.001304064,0.4429302,100
"94","Wrangell City","West","AK",275,2510,13779.09868,79.21216092,4685547.689,19,8.4349594,4.047749616,64643,71.2841254,13.5,11.1627907,750422.7,88.2791689,3.400992051,2.9220779,21.4,20.71793,22.3,30.5,18.4450402,13.1889764,0.001199041,0.084317,69.6165838
"95","Yakutat Borough","West","AK",282,637,8561.196561,76.94060157,7129136.384,20.7,8.4615385,2.419760684,68352,51.5837104,12,15.2173913,1571626.377,94.3925234,3.201638659,5.8252427,22.5,20.0948534,23,33.5,18.1619256,12.7272727,0,0.5671078,100
"96","Yukon-Koyukuk Census Area","West","AK",290,5077,14984.90241,72.49737951,17627540.44,28.7,12.1317158,5.689816926,43060,74.3134087,22,50.1312336,421988.5,87.992937,2.823397358,41.8793034,30.9,20.4495028,27.4,38.4,19.9538106,9.659864,0.000191205,0.0817996,100
"97","Apache County","West","AZ",1,71875,18660.50145,70.13496056,6557292.738,30.8,12.7803912,8.036828699,36319,79.6744943,23.6,28.9041432,-217048.859,81.4524086,2.762383008,63.3704201,23.9,15.3244399,29.4,36.9,20.9902099,13.8560579,0.000431232,5.3305668,74.0610755
